"","Specimen.Tag","Sex","State","County","Subspecies","Latitude","Longitude","SVL1","SVL2","SVL_Ave","Headwidth1","Headwidth2","Headwidth_Ave","Headlength1","Headlength2","Headlength_Ave","Right_Tibulafibula1","Right_Tibulafibula2","Tibulafibula_Ave","Right_Femur1","Right_Femur2","Femur_Ave","Right_Tarsus1","Right_Tarsus2","Tarsus_Ave","Right_Radioulna1","Right_Radioulna2","Radioulna_Ave","Right_Nostril_Lip1","Right_Nostril_Lip2","Nostril_Lip_Ave","Internarial1","Internarial2","Internarial_Ave","EAD1","EAD2","EAD_Ave","Interorbital1","Interorbital2","Interoribital_Ave","EPD1","EPD2","EPD_Ave","Right_Tympanum1","Right_Tympanum2","Tympanum_Ave","Spots","Notes","X","X.1","X.2","annual_temp","temp_seasonality","annual_rainfall","rainfall_seasonality","max_temp","min_temp","days_above_5","Site","county_site"
"129","INHS 3368","F","Illinois ","Cumberland ","Northern",39.2455,-88.15496,94,94.2,94.1,34.6,34.7,34.65,26.3,26,26.15,44.6,44.5,44.55,39.5,40,39.75,24.6,24.7,24.65,17,16.7,16.85,6.7,6.9,6.8,7.1,7.1,7.1,13.2,13.5,13.35,4.4,4.6,4.5,20.7,20.7,20.7,7.7,7.3,7.5,20,"",NA,NA,NA,11.7566661834717,988.953125,1045,110,30.5,-7.58799982070923,260,"Site_84","Site_11"
"130","INHS 2872","F","Illinois ","Cumberland ","Northern",39.31639,-88.36738,106.8,106.5,106.65,37.3,37.1,37.2,26.8,26.9,26.85,47.9,47.8,47.85,42.1,42.5,42.3,26.6,26.1,26.35,18.5,18.6,18.55,7.4,7.5,7.45,7.4,7.3,7.35,14.8,14.9,14.85,4.3,4.2,4.25,21.8,22.1,21.95,8.8,8.5,8.65,21,"",NA,NA,NA,11.6068334579468,993.478759765625,1027,108,30.3999996185303,-7.80800008773804,259,"Site_86","Site_11"
"131","INHS 3369","F","Illinois ","Cumberland ","Northern",39.2455,-88.15496,74.3,74.3,74.3,25.2,25.4,25.3,20.6,20.7,20.65,38.8,38.5,38.65,35.1,34.8,34.95,21,20.9,20.95,14,13.6,13.8,5.1,5.3,5.2,5.4,5.5,5.45,9.8,10,9.9,3.2,3.5,3.35,16.3,16.3,16.3,5.6,5.4,5.5,23,"",NA,NA,NA,11.7566661834717,988.953125,1045,110,30.5,-7.58799982070923,260,"Site_84","Site_11"
"132","INHS 2100","M","Illinois ","Cumberland ","Northern",39.2509,-88.21055,88.6,88.8,88.7,33.5,33.8,33.65,20.8,20.9,20.85,45.3,44.8,45.05,42,41.8,41.9,26.1,25.7,25.9,18.6,18.5,18.55,6.9,7.2,7.05,7.5,7.7,7.6,14.5,14.3,14.4,3.9,4.1,4,21.6,21.1,21.35,7,7.1,7.05,25,"",NA,NA,NA,11.7391662597656,993.217224121094,1036,109,30.5279998779297,-7.65199995040894,260,"Site_85","Site_11"
"133","UIMNH 32367","M","Kansas ","Douglas","Northern",38.92111,-95.232778,84.1,84.2,84.15,27.5,27.1,27.3,20.2,20.5,20.35,40.4,40.2,40.3,32.5,32.7,32.6,22.4,22.4,22.4,15.1,15.2,15.15,5.2,5.1,5.15,5.8,5.6,5.7,11.2,10.9,11.05,4.4,4.1,4.25,17.2,17,17.1,6.5,6.6,6.55,24,"",NA,NA,NA,12.9418334960938,1019.65405273438,1002,140,32.476001739502,-7.49599981307983,271,"Site_81","Site_14"
"134","UIMNH 38894","M","Kansas ","Douglas","Northern",38.92111,-95.232778,110.9,111.5,111.2,36,35.8,35.9,29.5,29.4,29.45,48.5,48.6,48.55,40.7,40.5,40.6,26.5,26.2,26.35,18.7,18.5,18.6,7.8,7.5,7.65,8,8,8,14,14.4,14.2,5.4,5.5,5.45,23.5,23.1,23.3,8.5,8.6,8.55,22,"",NA,NA,NA,12.9418334960938,1019.65405273438,1002,140,32.476001739502,-7.49599981307983,271,"Site_81","Site_14"
"135","UIMNH 32368","F","Kansas ","Douglas","Northern",38.92111,-95.232778,90.7,91,90.85,31.8,32,31.9,22.8,22.7,22.75,44.3,44.1,44.2,40.3,40.7,40.5,23.5,23,23.25,17.6,17,17.3,6.5,6.1,6.3,7,7,7,13.2,13.3,13.25,4,4.2,4.1,20.1,19.6,19.85,6.8,6.3,6.55,NA,"Owens says he cant count it",NA,NA,NA,12.9418334960938,1019.65405273438,1002,140,32.476001739502,-7.49599981307983,271,"Site_81","Site_14"
"136","UIMNH 38895","M","Kansas ","Douglas","Northern",38.92111,-95.232778,100.5,100.5,100.5,35.5,35.6,35.55,25.6,25.2,25.4,48.9,48.9,48.9,47.3,48,47.65,27.6,27.5,27.55,16.8,16.5,16.65,7,6.7,6.85,8,7.8,7.9,14.7,14.9,14.8,4.2,4.1,4.15,22.5,22.8,22.65,8.2,7.9,8.05,NA,"Owens says he cant count it",NA,NA,NA,12.9418334960938,1019.65405273438,1002,140,32.476001739502,-7.49599981307983,271,"Site_81","Site_14"
"137","UIMNH 32366","M","Kansas ","Douglas","Northern",38.92111,-95.232778,86.4,86.1,86.25,28,27.6,27.8,22,21.5,21.75,42.3,42.2,42.25,35.6,36,35.8,22.3,22.5,22.4,16.4,16.6,16.5,5.9,5.7,5.8,5.7,6,5.85,11.4,11.5,11.45,3.9,4.1,4,18.6,18.5,18.55,6,6.2,6.1,22,"",NA,NA,NA,12.9418334960938,1019.65405273438,1002,140,32.476001739502,-7.49599981307983,271,"Site_81","Site_14"
"138","UIMNH 32371","M","Kansas ","Cherokee","Northern",37.07472222,-94.70444444,85.5,85.4,85.45,29.2,29.3,29.25,22.5,22.3,22.4,40.9,40.8,40.85,38.2,38.2,38.2,23,22.8,22.9,16.4,16.2,16.3,5.3,5.5,5.4,5.8,6.1,5.95,11.6,11.7,11.65,3.2,3.3,3.25,18.5,18.6,18.55,5.5,5.1,5.3,29,"",NA,NA,NA,14.2253332138062,921.238586425781,1114,131,32.8279991149902,-5.10400009155273,282,"Site_67","Site_5"
"139","UIMNH 32374","F","Kansas ","Cherokee","Northern",37.07472222,-94.70444444,89,88.2,88.6,28.8,28.6,28.7,23.3,23,23.15,39.5,39.5,39.5,34.2,33.9,34.05,23.2,22.8,23,14.8,15,14.9,5.9,5.7,5.8,5.8,6,5.9,12,12.2,12.1,3.8,4.1,3.95,19.4,19.2,19.3,6.8,6.5,6.65,21,"",NA,NA,NA,14.2253332138062,921.238586425781,1114,131,32.8279991149902,-5.10400009155273,282,"Site_67","Site_5"
"140","UIMNH 32372","M","Kansas ","Cherokee","Northern",37.07472222,-94.70444444,92.9,92.8,92.85,30.9,30.9,30.9,26.4,27,26.7,43.6,43.5,43.55,41,40.9,40.95,23.5,23.6,23.55,16.7,16.8,16.75,6.1,6.1,6.1,5.5,6,5.75,12.9,12.5,12.7,3.9,4.2,4.05,19.6,19.9,19.75,8.9,8.5,8.7,27,"",NA,NA,NA,14.2253332138062,921.238586425781,1114,131,32.8279991149902,-5.10400009155273,282,"Site_67","Site_5"
"141","UIMNH 32370","M","Kansas ","Cherokee","Northern",37.07472222,-94.70444444,90.3,90.1,90.2,30.1,30,30.05,24.5,24.8,24.65,42.5,42.4,42.45,38.7,38.8,38.75,23,22.5,22.75,15,15.3,15.15,5.7,5.5,5.6,6.5,6,6.25,12.6,12.5,12.55,4.9,4.9,4.9,18.3,17.9,18.1,6.6,6.7,6.65,22,"",NA,NA,NA,14.2253332138062,921.238586425781,1114,131,32.8279991149902,-5.10400009155273,282,"Site_67","Site_5"
"142","UIMNH 32373","M","Kansas ","Cherokee","Northern",37.07472222,-94.70444444,89.5,89.6,89.55,30.2,30.4,30.3,24.6,24.3,24.45,41.9,41.9,41.9,39.2,38.7,38.95,22.7,23,22.85,15.9,16,15.95,5.5,5.9,5.7,6.4,6.2,6.3,13.1,13.1,13.1,3.4,3.3,3.35,18.5,19,18.75,7.2,7.5,7.35,31,"",NA,NA,NA,14.2253332138062,921.238586425781,1114,131,32.8279991149902,-5.10400009155273,282,"Site_67","Site_5"
