"","Specimen.Tag","Sex","State","County","Subspecies","Latitude","Longitude","SVL1","SVL2","SVL_Ave","Headwidth1","Headwidth2","Headwidth_Ave","Headlength1","Headlength2","Headlength_Ave","Right_Tibulafibula1","Right_Tibulafibula2","Tibulafibula_Ave","Right_Femur1","Right_Femur2","Femur_Ave","Right_Tarsus1","Right_Tarsus2","Tarsus_Ave","Right_Radioulna1","Right_Radioulna2","Radioulna_Ave","Right_Nostril_Lip1","Right_Nostril_Lip2","Nostril_Lip_Ave","Internarial1","Internarial2","Internarial_Ave","EAD1","EAD2","EAD_Ave","Interorbital1","Interorbital2","Interoribital_Ave","EPD1","EPD2","EPD_Ave","Right_Tympanum1","Right_Tympanum2","Tympanum_Ave","Spots","Notes","X","X.1","X.2","annual_temp","temp_seasonality","annual_rainfall","rainfall_seasonality","max_temp","min_temp","days_above_5","Site","county_site"
"13","OMNH 21871","M","Oklahoma","Choctaw","Southern",34.02840805,-95.30993652,76.1,76,76.05,28,28.1,28.05,22,21.8,21.9,36.5,35.8,36.15,31,31.5,31.25,17.8,17.8,17.8,15.8,15,15.4,5.4,5.5,5.45,6.2,6.1,6.15,12,11.8,11.9,3.5,4.2,3.85,18.1,18.4,18.25,6.5,6,6.25,24,"",NA,NA,NA,16.582332611084,832.873229980469,1200,154,34.1240005493164,-1.89199995994568,365,"Site_30","Site_7"
"14","OMNH 50027","M","Oklahoma","Coal","Southern",34.60934,-96.35322,86.6,87,86.8,31,31,31,22.3,22.3,22.3,41.9,41.6,41.75,40.4,40.9,40.65,23.1,22.9,23,17.3,17.7,17.5,7.2,7,7.1,8,8.1,8.05,12.6,12.9,12.75,3.9,4,3.95,19,19,19,8,8.2,8.1,25,"",NA,NA,NA,16.392333984375,863.550476074219,1041,139,34.2239990234375,-2.59999990463257,335,"Site_36","Site_8"
"15","OMNH 50037","M","Oklahoma","Coal","Southern",34.60873598,-96.33520371,75.3,75.9,75.6,26.2,25.8,26,19.8,19.4,19.6,36.7,36.8,36.75,31.7,32.2,31.95,20.2,20.3,20.25,11.9,12.5,12.2,5.8,5.6,5.7,6.2,6.1,6.15,12.4,12.2,12.3,4,3.9,3.95,17.9,18.1,18,6.1,5.3,5.7,26,"",NA,NA,NA,16.392333984375,863.550476074219,1041,139,34.2239990234375,-2.59999990463257,335,"Site_35","Site_8"
"16","UTA A27562","M","Texas","Colorado","Southern",29.67743,-96.259484,80.6,80.6,80.6,26.9,26.8,26.85,22.2,22.5,22.35,37.5,37.5,37.5,34.8,34.8,34.8,21.9,21.8,21.85,17.2,17,17.1,5.7,5.8,5.75,6.5,6.7,6.6,11.6,11.3,11.45,4.1,3.7,3.9,18,18.1,18.05,6,5.9,5.95,28,"",NA,NA,NA,20.095666885376,675.006591796875,1046,128,35.3240013122559,3.84800004959106,365,"Site_1","Site_10"
"17","OMNH 48043","F","Oklahoma","Delaware","Northern",36.20518494,-94.77973175,75.2,75.5,75.35,27.6,27.7,27.65,19.3,19.8,19.55,37.7,37.6,37.65,31.5,31.4,31.45,28.9,28.9,28.9,15,15.3,15.15,5.4,5.3,5.35,6.5,6.1,6.3,12.1,12.1,12.1,3.9,3.5,3.7,17.5,17.2,17.35,6,6,6,34,"",NA,NA,NA,14.5283336639404,867.424011230469,1153,134,32.1679992675781,-3.98399996757507,297,"Site_51","Site_12"
"18","OMNH 48042","M","Oklahoma","Delaware","Northern",36.20518494,-94.77973175,87.2,87,87.1,32.1,32.5,32.3,21.5,21.7,21.6,41,41.2,41.1,35.6,36.2,35.9,21.4,21.9,21.65,15.8,15.9,15.85,7,6.5,6.75,7.5,7.3,7.4,12.5,12.7,12.6,4.3,4.4,4.35,20.1,19.8,19.95,8.3,7.9,8.1,30,"",NA,NA,NA,14.5283336639404,867.424011230469,1153,134,32.1679992675781,-3.98399996757507,297,"Site_51","Site_12"
"19","OMNH 48041","M","Oklahoma","Delaware","Northern",36.20518494,-94.77973175,83.5,83.5,83.5,32.4,31.8,32.1,23.2,23.5,23.35,43.1,43.2,43.15,38.5,39.1,38.8,21.6,20.9,21.25,14.8,14.9,14.85,6.8,6.5,6.65,6.9,6.9,6.9,13.8,13.6,13.7,4.2,4.1,4.15,19.5,19.5,19.5,6.9,6.8,6.85,37,"",NA,NA,NA,14.5283336639404,867.424011230469,1153,134,32.1679992675781,-3.98399996757507,297,"Site_51","Site_12"
"20","OMNH 26313","M","Oklahoma","Delaware","Northern",36.20518494,-94.77973175,82.5,82,82.25,27,27,27,20.5,20.5,20.5,40.1,40.3,40.2,34.5,34.4,34.45,22,21.3,21.65,15.1,14.7,14.9,5.8,5.5,5.65,6.3,6.1,6.2,10,10.2,10.1,4.1,4.1,4.1,16.1,16.3,16.2,6.1,6.2,6.15,30,"",NA,NA,NA,14.5283336639404,867.424011230469,1153,134,32.1679992675781,-3.98399996757507,297,"Site_51","Site_12"
"21","UTA A60580","F","Texas","Delta","Southern",33.398853,-95.635749,95.1,95,95.05,32.6,32.5,32.55,23.5,23.6,23.55,43.5,43.3,43.4,37.6,37.6,37.6,25.8,25.5,25.65,19.8,20.1,19.95,6.1,6.1,6.1,7,6.5,6.75,13.4,13.1,13.25,4.5,4.8,4.65,20,19.8,19.9,7.3,7,7.15,31,"",NA,NA,NA,17.3706665039062,821.459594726562,1125,140,34.5719985961914,-0.699999988079071,365,"Site_21","Site_13"
"22","UTA A23","M","Texas ","Henderson","Southern",32.199236,-95.856381,73.8,73.9,73.85,26.1,25.9,26,20.2,19.8,20,36.6,36.7,36.65,32.8,32.5,32.65,19.3,19.2,19.25,14.4,14.5,14.45,5.1,5,5.05,5.6,5.8,5.7,11,11,11,5.1,4.9,5,17.2,16.8,17,6.5,6.3,6.4,29,"",NA,NA,NA,18.4911670684814,760.36865234375,1046,126,34.8920021057129,1.5,365,"Site_10","Site_15"
"23","UTA A294","M","Texas ","Henderson","Southern",32.201573,-96.007588,78.1,78.1,78.1,27.5,27.3,27.4,23.1,22.8,22.95,37,36.6,36.8,32.4,32.8,32.6,19.6,19.9,19.75,15.9,15.8,15.85,5.3,5.1,5.2,6,5.9,5.95,11,11.3,11.15,3,3.3,3.15,17.3,16.9,17.1,7,7.2,7.1,35,"",NA,NA,NA,18.4356670379639,758.0859375,1021,125,34.6800003051758,1.62000000476837,365,"Site_11","Site_15"
"24","UTA A62657","F","Texas","Hopkins","Southern",33.183646,-95.538803,90.1,90.1,90.1,30.5,30.6,30.55,23,23.5,23.25,40.9,40.5,40.7,34.1,34.3,34.2,22.5,21.6,22.05,16.1,15.9,16,6,6.3,6.15,6.2,6.5,6.35,11.8,11.8,11.8,4.4,4.1,4.25,17.6,17.5,17.55,7.3,7.4,7.35,28,"",NA,NA,NA,17.4233341217041,804.224792480469,1129,134,34.4280014038086,-0.328000009059906,365,"Site_18","Site_16"
"25","UTA A63547","M","Texas","Hopkins","Southern",33.11811,-95.675446,84,84.2,84.1,31,30,30.5,23.9,22.5,23.2,40.2,40.4,40.3,35.5,35.2,35.35,22.3,22.1,22.2,18,17.9,17.95,6,6,6,6.7,6.3,6.5,13.4,13.2,13.3,4.2,4.2,4.2,18.9,18.7,18.8,7,6.8,6.9,26,"",NA,NA,NA,17.417667388916,803.250366210938,1137,139,34.3759994506836,-0.288000017404556,365,"Site_17","Site_16"
"26","OMNH 38156","F","Oklahoma","Hughes","Southern",34.82512,-96.24915,87.2,87.5,87.35,30.5,30.3,30.4,23.8,23.8,23.8,36.1,36.1,36.1,39.3,39.3,39.3,21.8,21.5,21.65,16.4,16.5,16.45,7.1,7.3,7.2,7.6,6.9,7.25,13.8,13.8,13.8,4,4.2,4.1,21.1,20.2,20.65,7.2,7.3,7.25,35,"",NA,NA,NA,16.0573329925537,864.432250976562,1070,144,33.8800010681152,-2.79999995231628,324,"Site_38","Site_17"
"27","UTA A32847","F","Texas","Hunt","Southern",33.116039,-96.049212,84,84,84,30.1,29.7,29.9,24.1,23.5,23.8,43.1,42.5,42.8,36.7,36.9,36.8,24.5,23.8,24.15,16.1,16,16.05,5.7,6.2,5.95,5.9,5.7,5.8,12.4,12.3,12.35,4.6,4.5,4.55,18.5,18.2,18.35,6.5,7,6.75,25,"",NA,NA,NA,17.6079998016357,814.563049316406,1096,139,34.5799980163574,-0.164000004529953,365,"Site_16","Site_18"
"28","UTA A7236","M","Texas","Jasper","Southern",30.469472,-93.995689,67.2,67.2,67.2,27.2,26.9,27.05,21,21.3,21.15,32.5,32.6,32.55,31.1,31.3,31.2,18.6,18.5,18.55,15.9,15.6,15.75,5.5,5.6,5.55,5.9,6,5.95,10,10.1,10.05,3.5,3.7,3.6,17,17.5,17.25,5.8,5.9,5.85,24,"",NA,NA,NA,19.3325004577637,674.841369628906,1406,145,33.4959983825684,3.91200017929077,365,"Site_3","Site_20"
"29","UTA A1241","M","Missouri","Johnson","Northern",38.696321,-93.788677,81.9,81.9,81.9,28.4,28,28.2,24,24,24,43.2,43,43.1,39.1,39.3,39.2,24.3,24.3,24.3,20,19.6,19.8,6.3,5.5,5.9,6.5,6.6,6.55,11.3,11.6,11.45,4.6,4.8,4.7,19,18.6,18.8,7,6.8,6.9,24,"",NA,NA,NA,12.4104995727539,1000.78503417969,1028,123,31.8239994049072,-8.20399951934814,266,"Site_75","Site_21"
"30","UTA A13589","F","Texas","Kaufman","Southern",32.58379,-96.277148,68.9,68.8,68.85,24.8,24.8,24.8,20.3,20.9,20.6,35.9,35.5,35.7,32.5,32.4,32.45,20.5,19.8,20.15,15.5,15.3,15.4,5,5.2,5.1,5.2,5,5.1,10.8,10.5,10.65,4,4.1,4.05,16.3,15.9,16.1,6,5.9,5.95,26,"",NA,NA,NA,18.1603336334229,801.835266113281,993,125,35,0.675999999046326,365,"Site_15","Site_22"
"31","UTA A13586","F","Texas","Kaufman","Southern",32.58379,-96.277148,78.6,78.2,78.4,25.8,26.1,25.95,22.4,22.2,22.3,39.5,39.2,39.35,34.5,34.5,34.5,21.5,21.6,21.55,15.4,15.4,15.4,5.9,5.8,5.85,5.5,5.5,5.5,11,10.9,10.95,4.6,4,4.3,16.6,16.2,16.4,6.1,6.2,6.15,38,"",NA,NA,NA,18.1603336334229,801.835266113281,993,125,35,0.675999999046326,365,"Site_15","Site_22"
"32","UTA A13587","M","Texas","Kaufman","Southern",32.58379,-96.277148,74.6,74.5,74.55,26.2,26,26.1,20.3,20.2,20.25,36.7,36.8,36.75,36.2,36.1,36.15,21.1,20,20.55,17.2,17.2,17.2,5.2,5.4,5.3,5.6,5.6,5.6,9.8,9.9,9.85,3,2.9,2.95,16.3,16.1,16.2,5.6,5.5,5.55,26,"",NA,NA,NA,18.1603336334229,801.835266113281,993,125,35,0.675999999046326,365,"Site_15","Site_22"
"33","UTA A26771","M","Texas","Kaufman","Southern",32.58379,-96.277148,74.6,73.8,74.2,26.4,26.4,26.4,20.5,20.1,20.3,38.5,38.3,38.4,38,38.2,38.1,23,22.8,22.9,17.2,17.4,17.3,6.2,6.3,6.25,6.8,6.5,6.65,10.8,11,10.9,3.3,3.5,3.4,17.8,17.6,17.7,6.4,6.2,6.3,36,"",NA,NA,NA,18.1603336334229,801.835266113281,993,125,35,0.675999999046326,365,"Site_15","Site_22"
"34","UTA A61229","M","Texas","Lamar","Southern",33.62858,-95.578825,86.4,86,86.2,32.5,32.5,32.5,26.8,25.9,26.35,41.8,41.3,41.55,39,38.8,38.9,23.1,22.8,22.95,18.3,18.1,18.2,6.7,7,6.85,7,6.8,6.9,13.4,13.4,13.4,4.3,4.1,4.2,20.5,20.4,20.45,6.7,6.7,6.7,35,"",NA,NA,NA,17.0855007171631,826.993347167969,1160,146,34.3440017700195,-1,365,"Site_23","Site_23"
"35","UTA A60581","F","Texas","Lamar","Southern",33.62858,-95.578825,84.2,84.5,84.35,29.5,29.5,29.5,23.5,23.3,23.4,39.1,39.1,39.1,34.5,34.6,34.55,21.5,21.2,21.35,17.2,17.2,17.2,5.6,5.7,5.65,6.6,6.5,6.55,12.3,12.7,12.5,3.9,3.9,3.9,18.9,18.3,18.6,6.6,6.8,6.7,27,"",NA,NA,NA,17.0855007171631,826.993347167969,1160,146,34.3440017700195,-1,365,"Site_23","Site_23"
"36","UTA A58570","M","Texas","Lamar","Southern",33.62858,-95.578825,77.9,77.9,77.9,27.4,27,27.2,22,21.5,21.75,38.5,38.3,38.4,36.3,36.2,36.25,22.9,22.3,22.6,16.1,16.4,16.25,5.1,5.2,5.15,5.5,5.6,5.55,11.9,11.7,11.8,4.5,4.5,4.5,18.6,18.6,18.6,6,6.5,6.25,24,"",NA,NA,NA,17.0855007171631,826.993347167969,1160,146,34.3440017700195,-1,365,"Site_23","Site_23"
"37","UTA A58571","M","Texas","Lamar","Southern",33.62858,-95.578825,76.1,75.9,76,27,26.9,26.95,19,19.3,19.15,38.5,38.3,38.4,35.6,35.4,35.5,20.5,20.5,20.5,16.5,16.2,16.35,5.1,5.5,5.3,5.6,5.9,5.75,10.9,10.5,10.7,3.6,4,3.8,16.4,16.5,16.45,6.3,6,6.15,32,"",NA,NA,NA,17.0855007171631,826.993347167969,1160,146,34.3440017700195,-1,365,"Site_23","Site_23"
"38","UTA A58569","M","Texas","Lamar","Southern",33.62858,-95.578825,81.6,81.5,81.55,29.1,28.4,28.75,21.5,21.3,21.4,40,39.8,39.9,38.1,37.7,37.9,22.3,22.5,22.4,18.4,18.5,18.45,5.8,5.7,5.75,6.2,6.3,6.25,13.2,12.3,12.75,4,3.8,3.9,18.2,18,18.1,6.4,6.3,6.35,40,"",NA,NA,NA,17.0855007171631,826.993347167969,1160,146,34.3440017700195,-1,365,"Site_23","Site_23"
"39","OMNH 50033","F","Oklahoma","Latimer","Southern",34.72406583,-95.16247292,85.3,85.1,85.2,29.3,29.3,29.3,22.9,23.1,23,41.2,41.2,41.2,38.6,38.2,38.4,23.1,23.2,23.15,15.9,15.7,15.8,6.5,6.3,6.4,6.8,6.8,6.8,12.1,12.5,12.3,3.8,4.1,3.95,19.7,19.5,19.6,7.3,7.9,7.6,21,"",NA,NA,NA,15.8841667175293,821.053466796875,1258,169,33.2159996032715,-2.3840000629425,321,"Site_37","Site_24"
"40","OMNH 43867","F","Oklahoma","McCurtain","Southern",33.89570999,-94.78941345,82.2,82.4,82.3,32,31.8,31.9,22.8,22.5,22.65,38.1,38.3,38.2,37.7,37.3,37.5,21.1,21.2,21.15,14.6,14.2,14.4,6.1,5.5,5.8,7,6.9,6.95,12.8,12.5,12.65,2.5,3,2.75,21,19.6,20.3,5.7,5.8,5.75,27,"",NA,NA,NA,16.6744995117188,819.197937011719,1245,152,34.023998260498,-1.61600005626678,365,"Site_27","Site_28"
"41","OMNH 43870","M","Oklahoma","McCurtain","Southern",33.98312,-94.80985,74.2,73.8,74,23.6,23.5,23.55,20.9,21,20.95,33.7,33.7,33.7,30.6,30.7,30.65,16.7,16.5,16.6,13.5,12.9,13.2,5.1,4.9,5,5.7,5.8,5.75,11.4,11.5,11.45,3.1,3.5,3.3,15.5,15.3,15.4,5.5,5.1,5.3,32,"",NA,NA,NA,16.5766658782959,820.783508300781,1251,156,34.0599975585938,-1.84799993038177,365,"Site_29","Site_28"
"42","OMNH 43869","M","Oklahoma","McCurtain","Southern",33.98312,-94.80985,69.1,69.3,69.2,24.1,24.3,24.2,19.5,19.3,19.4,31.6,31.5,31.55,28.9,29,28.95,16.5,16.1,16.3,12.1,11.8,11.95,5.5,5.3,5.4,5.9,6.1,6,9.9,9.8,9.85,2.9,2.7,2.8,16,15.8,15.9,5.1,5.3,5.2,26,"",NA,NA,NA,16.5766658782959,820.783508300781,1251,156,34.0599975585938,-1.84799993038177,365,"Site_29","Site_28"
"43","OMNH 50093","F","Oklahoma","McCurtain","Southern",33.83757,-94.66156,86.2,86.3,86.25,33.2,33.2,33.2,21.9,21.5,21.7,39.8,39.6,39.7,37.4,38.1,37.75,21.8,21.9,21.85,16.1,15.9,16,6.9,6.8,6.85,6.9,7,6.95,13,13.1,13.05,4.1,4.4,4.25,19.5,19.5,19.5,7.5,7.2,7.35,32,"",NA,NA,NA,16.5389995574951,812.491088867188,1262,151,33.7039985656738,-1.43999993801117,365,"Site_24","Site_28"
"44","OMNH 25147","M","Lousiana","Monroe","Southern",32.50996,-92.11943,74.1,74.2,74.15,25.5,25.3,25.4,19.3,19.1,19.2,33.9,33.8,33.85,31.8,31.8,31.8,17.8,17.2,17.5,12.1,12.1,12.1,5.4,5.5,5.45,6,6.1,6.05,12.2,11.9,12.05,4.3,4,4.15,17.2,17.4,17.3,5.9,5.6,5.75,27,"",NA,NA,NA,18.4578342437744,763.926818847656,1349,143,34.2360000610352,1.63999998569489,365,"Site_14","Site_29"
"45","OMNH 30863","M","Lousiana","Monroe","Southern",32.50996,-92.11943,70.1,70.3,70.2,24.5,25,24.75,19.5,19.5,19.5,34.4,34,34.2,29.1,28.9,29,19.6,18.8,19.2,13.5,13.7,13.6,4.8,4.9,4.85,6.8,6.5,6.65,10,10.2,10.1,2.5,2.7,2.6,15.1,15.4,15.25,5.5,5.6,5.55,24,"",NA,NA,NA,18.4578342437744,763.926818847656,1349,143,34.2360000610352,1.63999998569489,365,"Site_14","Site_29"
"46","OMNH 30862","M","Lousiana","Monroe","Southern",32.50996,-92.11943,73.8,72.2,73,26.5,26.7,26.6,21,21.3,21.15,34.2,34,34.1,32.5,32.2,32.35,19.9,19.8,19.85,13.2,13.5,13.35,5.2,5.2,5.2,6.5,6.4,6.45,11.4,11.2,11.3,3.5,3.7,3.6,15.9,16,15.95,5.9,5.8,5.85,24,"",NA,NA,NA,18.4578342437744,763.926818847656,1349,143,34.2360000610352,1.63999998569489,365,"Site_14","Site_29"
"47","OMNH 50041","M","Oklahoma","Nowata","Northern",36.62651062,-95.72544676,81.22,81.25,81.235,27.98,28.12,28.05,22.15,22.04,22.095,41.89,41.03,41.46,39.37,38.63,39,21,20.9,20.95,18.83,18.35,18.59,6.03,6.15,6.09,6.45,6.91,6.68,11.48,11.83,11.655,4.73,4.38,4.555,18.01,18.16,18.085,6.94,6.7,6.82,28,"",NA,NA,NA,14.8898334503174,931.751037597656,1023,126,33.6640014648438,-4.90000009536743,293,"Site_60","Site_31"
"48","OMNH 49663","F","Oklahoma","Okfuskee","Intergrade",35.49509413,-96.26467465,80.8,80.5,80.65,29.7,29.8,29.75,23.3,23.9,23.6,42.3,42,42.15,40.8,41,40.9,20,19.9,19.95,16.9,16.7,16.8,7,7.3,7.15,8,7.9,7.95,12.9,13.4,13.15,4.9,4.2,4.55,20.1,20.1,20.1,8.5,8.1,8.3,31,"",NA,NA,NA,15.7534999847412,888.218322753906,1015,142,34.0639991760254,-3.44400000572205,312,"Site_43","Site_32"
"49","OMNH 50036","M","Oklahoma","Okmulgee","Intergrade",35.69688629,-95.88155297,72.6,72.3,72.45,26,26.1,26.05,21.8,20.8,21.3,35.3,35.5,35.4,35,35.1,35.05,18.2,18.4,18.3,12.9,12.5,12.7,6.2,6.1,6.15,7.1,6.9,7,10.9,10.3,10.6,4.1,3.9,4,18.5,17.9,18.2,6.1,5.9,6,28,"",NA,NA,NA,15.5736675262451,898.112182617188,1056,140,33.984001159668,-3.82399988174438,310,"Site_45","Site_33"
"50","OMNH 30845","M","Oklahoma","Osage","Northern",36.63346863,-96.29998016,94,94,94,35,35.1,35.05,25.1,25,25.05,48,48,48,40.1,40,40.05,25.8,25.4,25.6,17.5,17.7,17.6,8.1,8,8.05,8.2,8,8.1,15.5,15.3,15.4,5.3,5.2,5.25,22.8,21.9,22.35,7,7.1,7.05,40,"",NA,NA,NA,14.8961668014526,939.124877929688,1045,134,33.8559989929199,-5.21600008010864,293,"Site_61","Site_34"
"51","OMNH 43880","M","Oklahoma","Ottawa","Northern",36.83857346,-94.92933655,93.9,93.9,93.9,32.5,32.4,32.45,26.5,26.5,26.5,46,45.8,45.9,41.5,41.8,41.65,23.8,23.2,23.5,16.1,16,16.05,6.5,6.8,6.65,7.2,7.4,7.3,12.6,12.9,12.75,5.1,5.1,5.1,20.1,20,20.05,7.6,7.7,7.65,29,"",NA,NA,NA,14.3978328704834,928.453186035156,1103,132,33.1959991455078,-5.19999980926514,287,"Site_62","Site_35"
"52","OMNH 43881","M","Oklahoma","Ottawa","Northern",36.83857346,-94.92933655,81.5,81.1,81.3,29.5,28.9,29.2,22.4,22.2,22.3,40.1,39.9,40,33,32.8,32.9,20.5,20.7,20.6,15.5,14.9,15.2,6.4,6.2,6.3,6.8,6.8,6.8,12.6,12.7,12.65,4.3,4.5,4.4,18.4,18.2,18.3,5.9,6,5.95,24,"",NA,NA,NA,14.3978328704834,928.453186035156,1103,132,33.1959991455078,-5.19999980926514,287,"Site_62","Site_35"
"53","OMNH 43879","M","Oklahoma","Ottawa","Northern",36.83857346,-94.92933655,107,106.8,106.9,35.5,36.1,35.8,26.2,26.5,26.35,50.6,50.5,50.55,42.5,42.6,42.55,25.9,26.1,26,18.5,18.2,18.35,7.5,7.7,7.6,8.3,8.3,8.3,14.5,14.7,14.6,5.5,5.4,5.45,21.9,22.3,22.1,8.3,8.5,8.4,28,"",NA,NA,NA,14.3978328704834,928.453186035156,1103,132,33.1959991455078,-5.19999980926514,287,"Site_62","Site_35"
"54","OMNH 27605","M","Oklahoma","Ottawa","Northern",36.85187149,-94.88243866,89.6,89.9,89.75,30.9,31.1,31,23.1,22.9,23,46.3,46,46.15,41.1,41.3,41.2,23.1,23.4,23.25,18,17.3,17.65,6.2,6.3,6.25,6.5,6.8,6.65,11.6,11.8,11.7,4.5,4.9,4.7,19.9,19.3,19.6,7.6,7.6,7.6,25,"",NA,NA,NA,14.4333333969116,923.759521484375,1110,132,33.1679992675781,-5.10400009155273,287,"Site_63","Site_35"
"55","OMNH 26271","M","Oklahoma","Ottawa","Northern",36.85907364,-94.90383911,98,98.1,98.05,33.5,33.5,33.5,23.4,23.5,23.45,49.5,49.1,49.3,43.5,43.8,43.65,25.9,26,25.95,19.3,19.9,19.6,7.1,7,7.05,7.6,7.7,7.65,14.5,14.2,14.35,4.5,4.6,4.55,21.3,21.4,21.35,6.9,6.8,6.85,25,"",NA,NA,NA,14.4333333969116,923.759521484375,1110,132,33.1679992675781,-5.10400009155273,287,"Site_65","Site_35"
"56","JWW 12","M","Lousiana","Ouachita","Southern",32.437844,-92.187673,75,75,75,26.8,26.9,26.85,22.4,21.9,22.15,35.4,35.5,35.45,33.5,33.5,33.5,21.1,20.9,21,16.5,16.1,16.3,5.5,5.4,5.45,5.6,5.4,5.5,10.5,10.8,10.65,3.8,3.8,3.8,17,17.1,17.05,6.2,5.9,6.05,38,"",NA,NA,NA,17.9771671295166,752.61083984375,1370,142,33.6119995117188,1.48399996757507,365,"Site_12","Site_36"
"57","JWW 36","M","Lousiana","Ouachita","Southern",32.437844,-92.187673,66.8,66.6,66.7,25.2,25.3,25.25,20,20.1,20.05,32,31.6,31.8,30.9,30.5,30.7,18.6,18.5,18.55,14.5,14.2,14.35,5.1,5.2,5.15,5.2,5,5.1,10.3,10.5,10.4,3,3,3,14.9,14.9,14.9,6.5,6,6.25,31,"",NA,NA,NA,17.9771671295166,752.61083984375,1370,142,33.6119995117188,1.48399996757507,365,"Site_12","Site_36"
"58","JWW 63","M","Lousiana","Ouachita","Southern",32.437844,-92.187673,59.5,59.9,59.7,22.5,22.4,22.45,17.4,17.4,17.4,29.6,29.5,29.55,26.5,26.7,26.6,16,15.9,15.95,12.9,13,12.95,4.2,4.2,4.2,5,5.1,5.05,9.9,9.5,9.7,3.6,3.5,3.55,14.5,14.5,14.5,5.4,5.5,5.45,28,"",NA,NA,NA,17.9771671295166,752.61083984375,1370,142,33.6119995117188,1.48399996757507,365,"Site_12","Site_36"
"59","JWW 47","M","Lousiana","Ouachita","Southern",32.437844,-92.187673,69.7,70.4,70.05,23.8,23.7,23.75,14.9,14.8,14.85,31.9,31.7,31.8,26.5,26.7,26.6,18.3,18.4,18.35,14.6,14.4,14.5,4.9,4.7,4.8,5,4.9,4.95,10.4,10.9,10.65,3.9,3.8,3.85,15.4,15.5,15.45,5.3,5.4,5.35,33,"",NA,NA,NA,17.9771671295166,752.61083984375,1370,142,33.6119995117188,1.48399996757507,365,"Site_12","Site_36"
"60","JWW 8","M","Lousiana","Ouachita","Southern",32.437844,-92.187673,65.4,65.3,65.35,24.1,24.1,24.1,18.8,18.9,18.85,30.3,30.3,30.3,27.8,28.3,28.05,17.7,17.5,17.6,13.4,13.3,13.35,5,4.8,4.9,5.1,5.1,5.1,9.7,9.6,9.65,3.1,3,3.05,14.2,14.5,14.35,5.9,5.8,5.85,25,"",NA,NA,NA,17.9771671295166,752.61083984375,1370,142,33.6119995117188,1.48399996757507,365,"Site_12","Site_36"
"61","OMNH 50030","F","Oklahoma","Pittsburg","Southern",34.941992,-95.981691,93.4,93.6,93.5,33,29.9,31.45,22.9,23.2,23.05,42.6,42.9,42.75,40.1,41.3,40.7,23.5,23.3,23.4,16,16.3,16.15,6.8,6.5,6.65,7,7.1,7.05,12.9,13,12.95,4.3,4.1,4.2,20,19.9,19.95,7.6,7.4,7.5,29,"",NA,NA,NA,16.0741672515869,863.785217285156,1096,149,33.9200019836426,-2.77999997138977,321,"Site_40","Site_37"
"62","OMNH 25157","M","Lousiana","Richland","Southern",32.47413,-91.75601,90.2,90.2,90.2,35.3,35.2,35.25,20.4,20.6,20.5,40.1,40.3,40.2,35.2,34.8,35,20.2,20.1,20.15,15.5,15,15.25,7.2,6.9,7.05,8.1,8.2,8.15,14.6,14.5,14.55,4.8,5.1,4.95,21.5,21.7,21.6,7.5,7.6,7.55,34,"",NA,NA,NA,18.0380001068115,766.694091796875,1387,144,33.7400016784668,1.37599992752075,365,"Site_13","Site_39"
"63","OMNH 50052","F","Oklahoma","Rogers","Northern",36.49078,-95.68664,83.46,83.7,83.58,29.49,29.58,29.535,22.9,22.19,22.545,39.7,39.73,39.715,37.61,38.04,37.825,20.2,20.1,20.15,17.94,17.85,17.895,6.5,6.3,6.4,6.6,6.5,6.55,10.7,10.8,10.75,4.6,5.1,4.85,18.1,17.9,18,8.1,8.2,8.15,26,"",NA,NA,NA,15.1926670074463,926.031066894531,1049,126,33.8279991149902,-4.46000003814697,297,"Site_57","Site_40"
"64","OMNH 50038","M","Oklahoma","Rogers","Northern",36.56829143,-95.66950095,81.3,81.3,81.3,28.8,28.3,28.55,23.5,23.3,23.4,40,40.1,40.05,36.1,35.5,35.8,21.9,21.9,21.9,12.1,12.9,12.5,5.9,5.6,5.75,7,6.9,6.95,11.1,10.9,11,4.1,4.3,4.2,18.4,18.3,18.35,6.9,6.6,6.75,27,"",NA,NA,NA,15.0559997558594,933.466430664062,1032,127,33.8559989929199,-4.71999979019165,295,"Site_59","Site_40"
"65","OMNH 50040","M","Oklahoma","Rogers","Northern",36.48111159,-95.68676239,80.8,80.4,80.6,31.1,31.1,31.1,23.1,23.4,23.25,40.5,40.6,40.55,37.9,37,37.45,20.7,20.5,20.6,15.5,15.2,15.35,5.1,5.5,5.3,7.1,6.8,6.95,12.5,12.2,12.35,4.1,4.1,4.1,18.3,18.1,18.2,7.1,6.8,6.95,28,"",NA,NA,NA,15.1926670074463,926.031066894531,1049,126,33.8279991149902,-4.46000003814697,297,"Site_56","Site_40"
"66","OMNH 43713","M","Oklahoma","Seminole","Intergrade",35.40682,-96.46704,86.5,87.1,86.8,29.1,28.9,29,21.6,21.8,21.7,40.5,40.7,40.6,34,34.1,34.05,21.3,20.8,21.05,16.1,15.7,15.9,7.1,6.8,6.95,7.1,7.3,7.2,13.5,13.2,13.35,4.4,4.2,4.3,20.3,20.3,20.3,6.6,6.4,6.5,23,"",NA,NA,NA,15.7836666107178,880.274475097656,990,139,33.9799995422363,-3.2960000038147,314,"Site_41","Site_41"
